template_name,field_label,instructions
DA2166-9-1: NCO Evaluation Report (SGT),Daily Duties and Scope,"Write a few concise sentences in paragraph format that are the most important routine duties and responsibilities in a series of phrases, starting with action words, separated by semicolons, and ending in a period.  Use the present tense. Do not provide any introductory or conclusion text."
DA2166-9-1: NCO Evaluation Report (SGT),Areas of Special Emphasis,"Write 2 or 3 areas of special emphasis and/or appointed duties as a list of tasks and/or duties, separated by semicolons, and ending in a period. Do not provide any introductory and conclusion text."
DA2166-9-1: NCO Evaluation Report (SGT),Appointed Duties,"Write two or three additional duties, not normally included in the primary duty description. Separate each duty by a semicolon, and ending in a period. Do not provide any introductory or conclusion text."
DA2166-9-1: NCO Evaluation Report (SGT),Character Comments,"Write two bullets comments for the Soldier's Character (Army Values, Empathy, Warriors Ethos/Service Ethos, Discipline. Fully supports SHARP, EO, and EEO.). Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text."
DA2166-9-1: NCO Evaluation Report (SGT),Presence Comments,"Write three bullets comments for the Soldier's Presence (Military and professional bearing, Fitness, Confidence, Resilience). Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text."
DA2166-9-1: NCO Evaluation Report (SGT),Intellect Comments,"Write three bullets comments for the Soldier's Intellect (Mental agility, Sound judgment, Innovation, Interpersonal tact, Expertise). Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text."
DA2166-9-1: NCO Evaluation Report (SGT),Leads Comments,"Write three bullets comments for the Soldier's Leadership (Leads others, Builds trust, Extends influence beyond the chain of command, Leads by example, Communicates). Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text."
DA2166-9-1: NCO Evaluation Report (SGT),Develops Comments,"Write three bullets comments for the Soldier's ability to develop subordinate Soldiers (Creates a positive command/workplace environment, Fosters esprit de corps, Prepares self, Develops others, Stewards the profession). Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text."
DA2166-9-1: NCO Evaluation Report (SGT),Achieves Comments,Write three bullets comments for the Soldier's ability to achieve results. Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text.
DA2166-9-1: NCO Evaluation Report (SGT),Rater Overall Performance,Write three bullets comments for the Soldier's for overall performance.  Comments should compare the performance to the rated NCO with his/her contemporaries during the evaluation period. Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text.
DA2166-9-1: NCO Evaluation Report (SGT),Senior Rater Overall Potential,Type narrative comments for overall potential.  Comments are mandatory and should compare the potential of the rated NCO with his/her contemporaries during the evaluation period. Do not provide any introductory or conclusion text.
DA2166-9-2: NCO Evaluation Report (SSG-1SG/MSG),Daily Duties and Scope,"Write a few concise sentences in paragraph format that are the most important routine duties and responsibilities in a series of phrases, starting with action words, separated by semicolons, and ending in a period.  Use the present tense. Do not provide any introductory or conclusion text."
DA2166-9-2: NCO Evaluation Report (SSG-1SG/MSG),Areas of Special Emphasis,"Write 2 or 3 areas of special emphasis and/or appointed duties as a list of tasks and/or duties, separated by semicolons, and ending in a period. Do not provide any introductory and conclusion text."
DA2166-9-2: NCO Evaluation Report (SSG-1SG/MSG),Appointed Duties,"Write two or three additional duties, not normally included in the primary duty description. Separate each duty by a semicolon, and ending in a period. Do not provide any introductory or conclusion text."
DA2166-9-2: NCO Evaluation Report (SSG-1SG/MSG),Character Comments,"Write two bullets comments for the Soldier's Character (Army Values, Empathy, Warriors Ethos/Service Ethos, Discipline. Fully supports SHARP, EO, and EEO.). Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text."
DA2166-9-2: NCO Evaluation Report (SSG-1SG/MSG),Presence Comments,"Write three bullets comments for the Soldier's Presence (Military and professional bearing, Fitness, Confidence, Resilience). Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text."
DA2166-9-2: NCO Evaluation Report (SSG-1SG/MSG),Intellect Comments,"Write three bullets comments for the Soldier's Intellect (Mental agility, Sound judgment, Innovation, Interpersonal tact, Expertise). Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text."
DA2166-9-2: NCO Evaluation Report (SSG-1SG/MSG),Leads Comments,"Write three bullets comments for the Soldier's Leadership (Leads others, Builds trust, Extends influence beyond the chain of command, Leads by example, Communicates). Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text."
DA2166-9-2: NCO Evaluation Report (SSG-1SG/MSG),Develops Comments,"Write three bullets comments for the Soldier's ability to develop subordinate Soldiers (Creates a positive command/workplace environment, Fosters esprit de corps, Prepares self, Develops others, Stewards the profession). Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text."
DA2166-9-2: NCO Evaluation Report (SSG-1SG/MSG),Achieves Comments,Write three bullets comments for the Soldier's ability to achieve results. Each bullet should be on a new line and begin with the lower case 'o' as the bullet point.  Do not provide any introductory or conclusion text.
